Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
PL1,40.270199,-74.522059,2016-02-21,Nitrate,Dissolved,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2016-09-17,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-08-23,Phosphorus,Total,0.104,mg/L,Delaware River Basin Commission
MR2,40.321958,-74.607731,2016-07-17,Nitrate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-08-09,Phosphorus,Total,0.0966,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-08-09,Orthophosphate,Total,0.0797,mg/L,Delaware River Basin Commission
SB3,40.358549,-74.691108,2016-10-14,Nitrate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2016-03-19,Nitrate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-05-17,Orthophosphate,Total,0.00989,mg/L,Delaware River Basin Commission
SB4,40.33175,-74.77833,2016-01-16,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
PL1,40.270199,-74.522059,2016-03-19,Nitrate,Dissolved,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-06-21,Orthophosphate,Total,0.0685,mg/L,Delaware River Basin Commission
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-08-23,Nitrogen,Total,1.11,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Dissolved,0.123,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Kjeldahl nitrogen,Total,0.368,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Delaware River at Trenton,40.22032,-74.7777,2016-07-12,Orthophosphate,Total,0.0896,mg/L,Delaware River Basin Commission
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-10-13,Ammonia-nitrogen,Dissolved,0.0133,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB2,40.352824,-74.710443,2016-07-15,Orthophosphate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB2,40.352824,-74.710443,2016-09-16,Orthophosphate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2016-11-20,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
CL3,40.33097,-74.6542,2016-05-15,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
